Los Olivos;110;125;18;27;87;125;18;;;;;;;
Los Pinos;53D;61;25;29;53D;;25;;;;;;;
Los Rosales;101;109;9G;12;101;;9G;;;;;;;
Los Trupillos;27;30;20;23;27;;20;;;;;;;
Lucero;51;53;30;33;51;;30;;;;;;;
Mequejo;80;85;21;26;80;DIAG  78C;21;;;;;;;
Miramar;99a;106;42 b;45;99a;;42 b;;;;;;;
Modelo;52;58;67;72;52;;67;;;;;;;
Montecristo;45;52;55;66;45;VIA  40;55;;;;;;;
Montes;30;44;23A;26;30;;23A;;;;;;;
Nueva Colombia;73;83;15A;23;73;;15A;;;;;;;
Nueva Granada;62;68;27;34;62;;27;;;;;;;
Nuevo Horizonte;82;83;42A;42H;82;;42A;;;;;;;
Olaya;68A;75;27;36;68A;;27;;;;;;;
PASADENA;11;17;7;8;11;;7;;;;;;;
Paraíso;79;81;60;75;79;;60;;;;;;;
Por Fin;83;86;21;26;83;;21;;;;;;;
Pumarejo;53D;61;16A;21;53D;;16A;;;;;;;
Realengo;;;;;;;;;;;;;;
Rebolo;24;29;24;27;5;24;24;33;;;;;;
Riomar;84;89;53;65;84;;53;;;;;;;
San Felipe;64;72;22A;26;64;;22A;;;;;;;
San Francisco;68;71;62;74;68;;62;;;;;;;
San Isidro;50;53D;25;29;45;50;24;25;;;;;;
San José;37;47;19;23;37;38;14;19;;;;;;
San Luis;90;95;2A;6;90;;2A;;;;;;;
San Nicolás;38B;44;2;4;38B;;2;;;;;;;
San Pedro;90;100;6;7;90;;6;;;;;;;
San Roque;18;37;33a;37;18;30;27;33a;;;;;;
San Vicente;84;89;46;51;84;;46;;;;;;;
Santa Ana;58;67;62;74;58;;62;;;;;;;
Santa Helena;27C;30;4C;9;27C;;4C;;;;;;;
Santa María;80;95;2;11 sur;68;80;1;2;;;;;;
Santa Mónica;84;91;51B;52D;84;;51B;;;;;;;
Santo Domingo;56;61;27;34;56;;27;;;;;;;
Santo Domingo de Guzmán;DIAG 55C;89;3a;6;DIAG 55C;54;2g;3a;;;;;;
Siape;85;83;83;87;85;;83;;;;;;;
Siete de Abril;49a;79;1;14 sur;45c-4;49a;1;;;;;;;
Simón Bolívar;17;30;1;4B;17;26;1;9;;;;;;
Solaire;82;84;64;70;82;;64;;;;;;;
Universal;30;33;2;5A;30;33;2;;;;;;;
Veinte de Julio;95a;108;2 sur;11 sur;95a;;2 sur;;;;;;;
Villa Blanca;41;44;1;2;41;;1;;;;;;;
Villa Campestre;;;;;;;;;;;;;;
Villa Carolina;87;93;66;75;87;;66;;;;;;;
Villa del Este;82;84;64;70;82;;64;;;;;;;
Villa del Rosario;83;89;28;35;83;;28;;;;;;;
Villa Flor;90;100;6;7;90;;6;;;;;;;
Villa San Pedro;98;100;2;6;98;;2;;;;;;;
Villa Santos;96a;98;51;53;96a;110;46;51;;;;;;
Villate;61;64B;11;14;61;;11;;;;;;;
San Salvador;82;85;76;82;82;;76;;;;;;;
SAN PEDRO ALEJANDRINO;110;101;6;6R;110;;6;;;;;;;
EL LIMONCITO;85;86;66;75;85;;66;;;;;;;
TRES AVES MARIA;82b;85;75;76;82b;;75;;;;;;;
BARRNQUILLITA;2;29;41;49;2;;41;;;;;;;
ZONA NEGRA;5;17;34;37;5;;34;;;;;;;
